,pat_id,asd,dice,hd,jc,vol_gt,vol_pred,dice_mean,dice_std,hd_mean,hd_std,Pearson correlation coefficient between vol_gt and vol_pred
14,Escapena1_02-052+_4.nii.gz,0.308641975,0.67486819,2.449489743,0.50928382,0.040183458,0.027462659,0.640955508,0.142083417,2.579103715,2.067657347,0.46545644
15,Escapena1_05-041+_4.nii.gz,0.763342935,0.719874804,1.414213562,0.562347188,0.025138449,0.032436708,0.640955508,0.142083417,2.579103715,2.067657347,0.46545644
16,Escapena1_07-012_4.nii.gz,0.608426996,0.556509299,4,0.385530228,0.083878195,0.039425398,0.640955508,0.142083417,2.579103715,2.067657347,0.46545644
17,Escapena1_08-007+_3.nii.gz,0.667803491,0.625581395,2.236067977,0.455160745,0.0792741,0.048875761,0.640955508,0.142083417,2.579103715,2.067657347,0.46545644
18,Escapena1_13-001+_4.nii.gz,0.783405302,0.673316708,2.141640786,0.507518797,0.016693695,0.021341372,0.640955508,0.142083417,2.579103715,2.067657347,0.46545644
19,Escapena1_14-027+_4.nii.gz,0.446357748,0.652,2.695799041,0.483679525,0.044405417,0.030100316,0.640955508,0.142083417,2.579103715,2.067657347,0.46545644
20,Escapena1_14-043_4.nii.gz,0.44565958,0.702205882,2,0.541076487,0.044405417,0.036656821,0.640955508,0.142083417,2.579103715,2.067657347,0.46545644
21,Escapena1_21-013+_4.nii.gz,0.457943925,0.541871921,2.449489743,0.371621622,0.039935073,0.020563582,0.640955508,0.142083417,2.579103715,2.067657347,0.46545644
22,Escapena1_28-018_3.nii.gz,3.11822935,0.403669725,9.436623724,0.252873563,0.031375473,0.080143871,0.640955508,0.142083417,2.579103715,2.067657347,0.46545644
23,Escapena1_28-041_3.nii.gz,0.255707763,0.667697063,1.812435565,0.501160093,0.070141499,0.039741188,0.640955508,0.142083417,2.579103715,2.067657347,0.46545644
24,Escapena1_30-011_4.nii.gz,0.437120196,0.801843318,1,0.669230769,0.032037465,0.032633511,0.640955508,0.142083417,2.579103715,2.067657347,0.46545644
25,Escapena1_30-012_3.nii.gz,0.930384643,0.678929766,2.449489743,0.513924051,0.036954844,0.052154013,0.640955508,0.142083417,2.579103715,2.067657347,0.46545644
26,Escapena1_40-014_4.nii.gz,3.764753705,0.454022989,10,0.293680297,0.039003464,0.041311361,0.640955508,0.142083417,2.579103715,2.067657347,0.46545644
