,pat_id,asd,dice,hd,jc,vol_gt,vol_pred
35,Interrsect_01-311_3.nii.gz,0.55990469539782,0.7441860465116279,1.4142135623730951,0.5925925925925926,0.02699044231558979,0.03808931579115942
36,Prove-It-01-070_4.nii.gz,0.5458856224034516,0.6609294320137694,2.8284271247461903,0.493573264781491,0.043386505404499474,0.029891284246704578
37,Prove-It-01-128_4.nii.gz,0.4905368729262614,0.589018302828619,2.449489742783178,0.41745283018867924,0.04855757145561714,0.027242689440034554
38,Prove-It-01-174_4.nii.gz,0.4884500582122244,0.58,1.4142135623730951,0.4084507042253521,0.013873591844462041,0.011351120600014397
39,Prove-It-01-190_3.nii.gz,0.0,0.022222222222222223,6.55699513955933,0.011235955056179775,0.03591999052093445,0.000403595399111623
40,Prove-It-01-194_3.nii.gz,0.2916666666666667,0.5833333333333334,5.9748239349298835,0.4117647058823529,0.019423028582246857,0.010846626351124869
41,Prove-It-01-198_3.nii.gz,1.1420405246981025,0.6134185303514377,2.23606797749979,0.4423963133640553,0.02598145381781073,0.05297189613340052
42,Prove-It-01-276_3.nii.gz,0.3452240774992748,0.7505070993914807,1.0,0.6006493506493507,0.0346839796111551,0.02749493656447932
43,Prove-It-01-434_3.nii.gz,0.7899586037183628,0.36449704142011835,7.1760987937272676,0.22286541244573083,0.0871513814956661,0.019423028582246857
44,Prove-It-02-021_3.nii.gz,NA,NA,NA,NA,NA,NA
45,qc11_da_3.nii.gz,1.67741585037433,0.033707865168539325,5.916079783099616,0.017142857142857144,0.04414324677783377,0.0007567413733342932
46,qc17_msk_3.nii.gz,0.8518010184593109,0.6486486486486487,1.4142135623730951,0.48,0.023332859011140704,0.03733257441782513
47,qc17_msk_4.nii.gz,5.630832300225221,0.5421994884910486,15.0,0.3719298245614035,0.023585106135585468,0.025729206693365966
48,qc18_mm_3.nii.gz,3.0167091555806578,0.593167701863354,9.273618495495704,0.4216335540838852,0.033674991113376046,0.047548582957838086
49,qc20_sdd_3.nii.gz,0.6344224999279667,0.7922297297297297,1.4142135623730951,0.6559440559440559,0.06507975810674921,0.08425053956455131
50,qc21_tll_4.nii.gz,0.31926082654351795,0.758364312267658,1.0,0.6107784431137725,0.019170781457802093,0.014756456780018716
51,qc23_vrp_3.nii.gz,0.3303681166931419,0.7775175644028103,1.799038105676658,0.6360153256704981,0.02749493656447932,0.026359824504477877
52,qc24_wje_3.nii.gz,0.39922095354601494,0.8556789069171649,1.0,0.7477611940298508,0.06999857703342212,0.07769211432898743
53,qc25_wsl_3.nii.gz,0.6084983227648807,0.7388781431334622,1.6684833585297243,0.5858895705521472,0.02661207162892264,0.03859381004004895
54,qc25_wsl_4.nii.gz,1.5266718052009376,0.3013698630136986,3.0,0.1774193548387097,0.007819660857787696,0.019801399268914003
55,qc3_amc_3.nii.gz,0.0,0.015810276679841896,10.425838872118197,0.00796812749003984,0.03165701411781793,0.0002522471244447644
56,qc4_bjk_3.nii.gz,0.7947504843894414,0.7222222222222222,1.4142135623730951,0.5652173913043478,0.009459267166678664,0.008702525793344372
57,quicker_qc14_jc_3.nii.gz,0.6808163566694242,0.5928571428571429,3.0,0.4213197969543147,0.01967527570669162,0.015639321715575392
58,quicker_qc2_aom_3.nii.gz,0.4118117992764057,0.41042345276872966,4.58257569495584,0.2581967213114754,0.029765160684482195,0.008954772917789136
59,quicker_qc2_aom_4.nii.gz,0.6280358034134577,0.6905829596412556,1.4142135623730951,0.5273972602739726,0.024972465320031674,0.031278643431150784
60,quicker_qc5_bnc_3.nii.gz,0.2972972972972973,0.6146341463414634,2.449489742783178,0.44366197183098594,0.015765445277797774,0.010089884977790575
